id,lat,lon
KABR,45.4558,-98.4131
KABX,35.1497,-106.8239
KAKQ,36.9839,-77.0075
KAMA,35.2333,-101.7092
KAMX,25.6111,-80.4128
KAPX,44.9069,-84.7197
KARX,43.8228,-91.1911
KATX,48.1944,-122.4956
KBBX,39.4961,-121.6317
KBGM,42.1997,-75.9847
KBHX,40.4983,-124.2919
KBIS,46.7708,-100.7603
KBLX,45.8538,-108.6067
KBMX,33.1722,-86.7697
KBOX,41.9558,-71.1369
KBRO,25.9161,-97.4189
KBUF,42.9489,-78.7369
KBYX,24.5975,-81.7031
KCAE,33.9486,-81.1183
KCBW,46.0392,-67.8067
KCBX,43.4906,-116.2353
KCCX,40.9233,-78.0036
KCLE,41.4131,-81.8597
KCLX,32.6556,-81.0422
KCRI,35.2383,-97.4600
KCRP,27.7842,-97.5111
KCXX,44.5111,-73.1667
KCYS,41.1519,-104.8061
KDAX,38.5011,-121.6778
KDDC,37.7608,-99.9689
KDFX,29.2728,-100.2803
KDGX,32.2800,-89.9844
KDIX,39.9469,-74.4108
KDLH,46.8369,-92.2097
KDMX,41.7311,-93.7228
KDOX,38.8256,-75.4400
KDTX,42.6997,-83.4717
KDVN,41.6117,-90.5808
KDYX,32.5383,-99.2542
KEAX,38.8103,-94.2644
KEMX,31.8936,-110.6303
KENX,42.5864,-74.0639
KEOX,31.4603,-85.4592
KEPZ,31.8731,-106.6975
KESX,35.7011,-114.8919
KEVX,30.5644,-85.9214
KEWX,29.7039,-98.0289
KEYX,35.0978,-117.5608
KFCX,37.0242,-80.2742
KFDR,34.3622,-98.9764
KFDX,34.6342,-103.6300
KFFC,33.3636,-84.5658
KFSD,43.5878,-96.7294
KFSX,34.5744,-111.1981
KFTG,39.7864,-104.5458
KFWS,32.5731,-97.3031
KGGW,48.2064,-106.6253
KGJX,39.0622,-108.2136
KGLD,39.3667,-101.7000
KGRB,44.4983,-88.1111
KGRK,30.7219,-97.3828
KGRR,42.8939,-85.5450
KGSP,34.8831,-82.2200
KGWX,33.8967,-88.3294
KGYX,43.8914,-70.2567
KHDC,30.5193,-90.4074
KHDX,33.0764,-106.1225
KHGX,29.4719,-95.0792
KHNX,36.3142,-119.6322
KHPX,36.7367,-87.2853
KHTX,34.9306,-86.0836
KICT,37.6544,-97.4431
KICX,37.5908,-112.8622
KILN,39.4203,-83.8217
KILX,40.1503,-89.3367
KIND,39.7075,-86.2803
KINX,36.1750,-95.5644
KIWA,33.2892,-111.6700
KIWX,41.3589,-85.7000
KJAX,30.4847,-81.7019
KJGX,32.6753,-83.3511
KJKL,37.5908,-83.3131
KLBB,33.6542,-101.8142
KLCH,30.1253,-93.2158
KLGX,47.1169,-124.1067
KLIX,30.3367,-89.8253
KLNX,41.9578,-100.5764
KLOT,41.6044,-88.0847
KLRX,40.7397,-116.8025
KLSX,38.6986,-90.6828
KLTX,33.9892,-78.4292
KLVX,37.9753,-85.9439
KLWX,38.9753,-77.4778
KLZK,34.8364,-92.2622
KMAF,31.9433,-102.1894
KMAX,42.0811,-122.7172
KMBX,48.3925,-100.8644
KMHX,34.7758,-76.8761
KMKX,42.9678,-88.5506
KMLB,28.1133,-80.6542
KMOB,30.6794,-88.2397
KMPX,44.8489,-93.5656
KMQT,46.5311,-87.5483
KMRX,36.1686,-83.4019
KMSX,47.0411,-113.9861
KMTX,41.2628,-112.4478
KMUX,37.1553,-121.8983
KMVX,47.5278,-97.3253
KMXX,32.5367,-85.7897
KNKX,32.9192,-117.0419
KNQA,35.3447,-89.8736
KOAX,41.3203,-96.3667
KOHX,36.2472,-86.5625
KOKX,40.8656,-72.8639
KOTX,47.6803,-117.6267
KOUN,35.2361,-97.4624
KPAH,37.0683,-88.7719
KPBZ,40.5317,-80.2181
KPDT,45.6906,-118.8528
KPOE,31.1556,-92.9758
KPUX,38.4594,-104.1814
KRAX,35.6656,-78.4900
KRGX,39.7542,-119.4622
KRIW,43.0661,-108.4775
KRLX,38.3111,-81.7228
KRTX,45.7150,-122.9656
KSFX,43.1058,-112.6861
KSGF,37.2353,-93.4006
KSHV,32.4506,-93.8414
KSJT,31.3711,-100.4925
KSOX,33.8178,-117.6358
KSRX,35.2906,-94.3617
KTBW,27.7056,-82.4017
KTFX,47.4597,-111.3853
KTLH,30.3975,-84.3289
KTLX,35.3331,-97.2778
KTWX,38.9969,-96.2325
KTYX,43.7558,-75.6800
KUDX,44.1250,-102.8297
KUEX,40.3208,-98.4419
KVAX,30.8903,-83.0019
KVBX,34.8389,-120.3964
KVNX,36.7408,-98.1278
KVTX,34.4117,-119.1789
KVWX,38.2603,-87.7247
KYUX,32.4953,-114.6567
